parameter,models,value,extra:year,extra:type,index:Region,index:End Use,index:Structure,index:Dwelling Type,description

# --- Model defaults ---
saturation_level,steel,10,,,,,,,
saturation_level,plastics,3,,,,,,,
saturation_level,cement,24,,,,,,,

# --- Scenario defaults ---
stock_factor,all,1.0,2100,factor,,,,,
lifetime_mean,"steel,plastics",1.0,2060,factor,,,,,
lifetime_std,"steel,plastics",1.0,2060,factor,,,,,
lifetime_mean,cement,lifetime_mean_factor,2100,factor,,,,,Lifetime mean is scaled by factor
lifetime_std,cement,lifetime_std_factor,2100,factor,,,,,Lifetime std is scaled by factor
lifetime_min_factor,cement,1.0,,,,,,,Minimum factor of lifetime mean/std adjustment

# --- Plastics ---
waste_his_imports,plastics,0,2030,target,,,,,
waste_his_exports,plastics,0,2030,target,,,,,
collection_rate,plastics,0.99,2100,target,,,,,
landfill_rate,plastics,0.0,2100,target,,,,,
mechanical_recycling_rate,plastics,0.4,2100,target,,,,,
chemical_recycling_rate,plastics,0.1,2100,target,,,,,
bio_production_rate,plastics,0.1,2100,target,,,,,
daccu_production_rate,plastics,0.01,2100,target,,,,,

# --- Cement (bottom-up) ---
development_gdppc_low,cement,8000,,,,,,,GDP per capita below which splits fully converge to their global means
development_gdppc_high,cement,30000,,,,,,,GDP per capita above which regions keep their own splits
structure_split,cement,structure_split_target,2060,target,,,,,Low-GDP regions converge their structure split to the global mean
min_timber_share,cement,0.0,,,,,,,Minimum timber share the structure split target is lifted to
dwelling_split,cement,dwelling_split_mean,2060,target,,,,,Low-GDP regions converge their dwelling split to the global mean
hibernating_stock_share,cement,0.10,2060,target,CHA,,,,Chinas hibernating stock share reduces to 10% by 2060
concrete_building_mi,cement,concrete_building_mi_target,2060,target,,,,,MI converges to a target value informed by p25 MI
concrete_building_mi_target_factor,cement,0,,,,,,,Factor by which the MI 25 percentile should be reached. 0 means no change - 1 means reaching the 25 percentile of MI.
